Number,Age,Gender,BirthPlace,Education," «Маш, а Вы не могли бы подойти, пожалуйста?»","«Даш, Вы тоже решили пораньше прийти?»","«Саш, Вы не могли бы закрыть окно, пожалуйста?»"
84,23,Мужской,г. Уфа,неоконченное высшее,фамильярно,фамильярно,фамильярно
85,20,Женский,Москва,неоконченное высшее,фамильярно,нормально,нормально
86,16,Женский,Россия,незаконченное среднее (=школьник),фамильярно,нормально,нормально
87,23,Мужской,Москва ,высшее,фамильярно,нормально,нормально
88,16,Женский,Санкт-Петербург,незаконченное среднее (=школьник),фамильярно,нормально,нормально
89,32,Женский,Чусовой ,высшее,фамильярно,нормально,нормально
90,20,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
91,20,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
92,22,Мужской,Архангельск,высшее,нормально,нормально,фамильярно
93,18,Женский,Москва,незаконченное среднее (=школьник),фамильярно,грубо,фамильярно
94,34,Мужской,Санкт Петербург,высшее,нормально,нормально,нормально
95,19,Женский,Санкт-Петербург,неоконченное высшее,фамильярно,нормально,нормально
96,20,Мужской,"Чадыр-Лунга, респ. Молдова",неоконченное высшее,нормально,нормально,нормально
97,27,Женский,Москва,высшее,нормально,нормально,нормально
98,19,Женский,Москва,неоконченное высшее,фамильярно,фамильярно,фамильярно
99,16,Мужской,Москва ,незаконченное среднее (=школьник),нормально,фамильярно,нормально
100,20,Женский,Москва,неоконченное высшее,грубо,фамильярно,нормально
101,20,Женский,Москва,неоконченное высшее,грубо,фамильярно,нормально
102,39,Женский,город Ленинград,высшее,грубо,фамильярно,фамильярно
103,19,Мужской,Ростов,неоконченное высшее,фамильярно,нормально,нормально
104,19,Мужской,Ростов,неоконченное высшее,фамильярно,нормально,нормально
105,19,Мужской,Ростов,неоконченное высшее,фамильярно,нормально,нормально
106,17,Мужской,Москва,среднее,нормально,нормально,нормально
107,19,Женский,Москва,неоконченное высшее,фамильярно,нормально,фамильярно
108,18,Женский,Россия,среднее,фамильярно,фамильярно,фамильярно
109,51,Женский,Московская область ,высшее,фамильярно,нормально,нормально
110,18,Мужской,Москва,среднее,грубо,нормально,нормально
111,18,Женский,Казахстан,неоконченное высшее,фамильярно,нормально,нормально
112,16,Женский,Москва,незаконченное среднее (=школьник),нормально,нормально,нормально
113,18,Мужской,Лтрнецк,неоконченное высшее,фамильярно,нормально,фамильярно
114,18,Женский,Г. Гуково,неоконченное высшее,нормально,фамильярно,нормально
115,35,Женский,Ленинград,высшее,нормально,нормально,нормально
116,32,Женский,Москва,высшее,фамильярно,нормально,фамильярно
117,19,Женский,Пермь,неоконченное высшее,нормально,нормально,нормально
118,20,Мужской,Москва,неоконченное высшее,нормально,нормально,нормально
119,38,Женский,Ленинград,высшее,грубо,грубо,грубо
120,20,Женский,пермь,неоконченное высшее,фамильярно,нормально,фамильярно
121,21,Женский,Москва,высшее,фамильярно,нормально,нормально
122,27,Женский,Ленинград,высшее,грубо,нормально,фамильярно
123,29,Мужской,Москва,высшее,фамильярно,нормально,нормально
124,26,Женский,Саратов,высшее,фамильярно,нормально,нормально
125,19,Женский,Саратов,среднее,фамильярно,фамильярно,нормально
126,46,Женский,Ленинград ,высшее,нормально,нормально,фамильярно
127,37,Женский,Ленинград,высшее,фамильярно,нормально,нормально
128,44,Женский,Алма-Ата,высшее,фамильярно,нормально,фамильярно
129,16,Мужской,Мерциг,незаконченное среднее (=школьник),фамильярно,фамильярно,фамильярно
130,20,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
131,19,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
132,19,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
133,28,Женский,Мензелинск ,высшее,нормально,нормально,нормально
134,19,Мужской,Санкт-Петербург,неоконченное высшее,фамильярно,нормально,нормально
135,20,Мужской,Хабаровск,неоконченное высшее,фамильярно,нормально,нормально
136,20,Женский,Москва ,неоконченное высшее,фамильярно,нормально,нормально
137,18,Женский,Санкт-Петербург,неоконченное высшее,фамильярно,нормально,нормально
138,16,Женский,Мытищи ,незаконченное среднее (=школьник),нормально,фамильярно,фамильярно
139,27,Женский,Москва,высшее,грубо,фамильярно,нормально
140,19,Женский,Москва,неоконченное высшее,нормально,грубо,нормально
141,20,Женский,Урал,неоконченное высшее,фамильярно,грубо,нормально
142,24,Женский, Москва,высшее,фамильярно,фамильярно,фамильярно
143,20,Женский,Дзержинск,неоконченное высшее,фамильярно,нормально,нормально
144,19,Женский,Санкт-Петербург,неоконченное высшее,нормально,нормально,нормально
145,23,Женский,Москва,высшее,нормально,нормально,нормально
146,16,Женский,Московская область ,незаконченное среднее (=школьник),нормально,нормально,нормально
147,19,Женский,Москва,неоконченное высшее,фамильярно,нормально,фамильярно
148,16,Женский,"Бийск, Алтайский край",незаконченное среднее (=школьник),фамильярно,фамильярно,нормально
149,26,Женский,Москва,высшее,нормально,нормально,нормально
150,22,Мужской,Москва,неоконченное высшее,фамильярно,фамильярно,фамильярно
151,17,Женский,Архангельск,незаконченное среднее (=школьник),фамильярно,нормально,нормально
152,19,Женский,Волгоград ,среднее,фамильярно,нормально,нормально
153,16,Женский,Москва,незаконченное среднее (=школьник),фамильярно,нормально,нормально
154,30,Мужской,Москва,высшее,фамильярно,нормально,нормально
155,19,Мужской,Москва,неоконченное высшее,фамильярно,нормально,нормально
156,17,Мужской,Москва,неоконченное высшее,нормально,нормально,нормально
157,19,Женский,Таганрог,неоконченное высшее,нормально,фамильярно,нормально
158,22,Мужской,Санкт-Петербург,высшее,фамильярно,нормально,нормально
159,21,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
160,15,Женский,Москва,незаконченное среднее (=школьник),фамильярно,нормально,нормально
161,25,Мужской,Москва,высшее,нормально,нормально,нормально
162,14,Женский,Москва,незаконченное среднее (=школьник),фамильярно,нормально,нормально
163,23,Женский,Московская область ,высшее,фамильярно,фамильярно,нормально
164,16,Женский,Москва,незаконченное среднее (=школьник),нормально,нормально,нормально
165,34,Женский,Москва,высшее,нормально,нормально,нормально
166,27,Женский,Москва,высшее,фамильярно,нормально,нормально
167,17,Женский,Москва,среднее,фамильярно,нормально,нормально
168,15,Женский,Москва,незаконченное среднее (=школьник),фамильярно,нормально,нормально
169,35,Мужской,Россия,высшее,фамильярно,фамильярно,фамильярно
170,19,Мужской,Москва,неоконченное высшее,грубо,нормально,нормально
171,16,Женский,Санкт-Петербург ,незаконченное среднее (=школьник),нормально,нормально,нормально
172,18,Мужской,Москва ,неоконченное высшее,фамильярно,фамильярно,грубо
173,20,Женский,Россия,среднее,фамильярно,нормально,нормально
174,33,Женский,Беларусь,высшее,фамильярно,фамильярно,фамильярно
175,17,Женский,Москва,среднее,фамильярно,нормально,нормально
176,18,Женский,Москва,неоконченное высшее,фамильярно,нормально,нормально
177,20,Мужской,Новосибирск,неоконченное высшее,фамильярно,нормально,фамильярно
178,21,Женский,Туймазы,неоконченное высшее,фамильярно,нормально,нормально
179,17,Мужской,Москва,незаконченное среднее (=школьник),фамильярно,нормально,фамильярно
180,22,Женский,Санкт Петербург,высшее,грубо,фамильярно,нормально
181,28,Мужской,Санкт-Петербург,неоконченное высшее,нормально,нормально,нормально
182,35,Женский,Свердловск,среднее специальное,фамильярно,нормально,фамильярно
183,21,Женский,Москва,высшее,фамильярно,нормально,нормально
184,16,Женский,Вологда,незаконченное среднее (=школьник),фамильярно,нормально,нормально
185,18,Мужской,Самара,неоконченное высшее,фамильярно,нормально,нормально
186,22,Женский,РФ,среднее специальное,фамильярно,нормально,нормально
187,13,Мужской,Санкт-Петербург,незаконченное среднее (=школьник),нормально,нормально,нормально
188,16,Мужской,москва,незаконченное среднее (=школьник),фамильярно,нормально,нормально
189,17,Женский,Череповец,незаконченное среднее (=школьник),фамильярно,нормально,нормально
190,16,Женский,г. Ростов-на-Дону,незаконченное среднее (=школьник),фамильярно,нормально,фамильярно
191,20,Женский,Рязань,среднее специальное,нормально,нормально,нормально
192,16,Мужской,Москва,незаконченное среднее (=школьник),фамильярно,нормально,нормально
193,16,Мужской,Москва,незаконченное среднее (=школьник),фамильярно,нормально,нормально
194,20,Женский,Санкт-Петербург,неоконченное высшее,фамильярно,нормально,нормально
195,28,Женский,Москва,высшее,фамильярно,нормально,фамильярно
196,21,Женский,Первоуральск,высшее,фамильярно,нормально,нормально
197,50,Женский,Ленинград,высшее,нормально,нормально,нормально
198,18,Женский,Москва ,неоконченное высшее,нормально,нормально,нормально
199,16,Женский,Москва,незаконченное среднее (=школьник),нормально,нормально,нормально
200,56,Женский,"Мелитополь, Украина",высшее,фамильярно,нормально,фамильярно
201,41,Женский,г. Ленинград,высшее,грубо,нормально,фамильярно
202,22,Мужской,Московская область,высшее,фамильярно,фамильярно,фамильярно
203,46,Женский,ленинград,высшее,фамильярно,нормально,фамильярно
204,20,Женский,Москва ,высшее,фамильярно,нормально,нормально
205,19,Женский,Москва,среднее специальное,грубо,нормально,фамильярно
206,24,Женский,Москва,высшее,фамильярно,фамильярно,нормально
207,16,Женский,Дзержинский,незаконченное среднее (=школьник),фамильярно,фамильярно,нормально
208,21,Женский,"Кемерово, Россия",неоконченное высшее,фамильярно,нормально,фамильярно
209,25,Женский,Пермь ,высшее,фамильярно,нормально,нормально
210,22,Женский,Санкт-Петербург,высшее,грубо,грубо,фамильярно
211,20,Женский,Калининград,неоконченное высшее,фамильярно,нормально,нормально
212,23,Женский,Тбилиси ,неоконченное высшее,нормально,нормально,нормально
213,37,Мужской,Ленинград,высшее,нормально,нормально,нормально
