id,prm,val
74,age,22
74,sex,ж
74,birthPlace,Ташкент
74,educLevel,неоконченное_высшее
75,age,17
75,sex,ж
75,birthPlace,Москва
75,educLevel,школьник
76,age,18
76,sex,ж
76,birthPlace,Москва
76,educLevel,школьник
77,age,16
77,sex,ж
77,birthPlace,МО
77,educLevel,школьник
78,age,16
78,sex,м
78,birthPlace,Москва
78,educLevel,школьник
79,age,16
79,sex,м
79,birthPlace,МО
79,educLevel,школьник
80,age,13
80,sex,ж
80,birthPlace,Москва
80,educLevel,школьник
81,age,15
81,sex,м
81,birthPlace,Сан-Франциско
81,educLevel,школьник
82,age,70
82,sex,ж
82,birthPlace,МО
82,educLevel,высшее
83,age,16
83,sex,м
83,birthPlace,Москва
83,educLevel,школьник
84,age,15
84,sex,м
84,birthPlace,Жуковский
84,educLevel,школьник
85,age,16
85,sex,ж
85,birthPlace,МО
85,educLevel,школьник
86,age,16
86,sex,ж
86,birthPlace,Москва
86,educLevel,школьник
87,age,16
87,sex,ж
87,birthPlace,Москва
87,educLevel,школьник
88,age,16
88,sex,м
88,birthPlace,Москва
88,educLevel,школьник
89,age,16
89,sex,м
89,birthPlace,Оренбург
89,educLevel,школьник
90,age,15
90,sex,ж
90,birthPlace,Москва
90,educLevel,школьник
91,age,14
91,sex,м
91,birthPlace,Москва
91,educLevel,школьник
92,age,13
92,sex,м
92,birthPlace,Москва
92,educLevel,школьник
93,age,17
93,sex,м
93,birthPlace,Санкт-Петербург
93,educLevel,школьник
94,age,17
94,sex,ж
94,birthPlace,Москва
94,educLevel,школьник
95,age,17
95,sex,м
95,birthPlace,Москва
95,educLevel,школьник
96,age,17
96,sex,ж
96,birthPlace,Москва
96,educLevel,школьник
97,age,33
97,sex,ж
97,birthPlace,Смоленск
97,educLevel,высшее
98,age,19
98,sex,ж
98,birthPlace,Москва
98,educLevel,среднее
99,age,19
99,sex,ж
99,birthPlace,Москва
99,educLevel,неоконченное_высшее
100,age,20
100,sex,ж
100,birthPlace,Новосибирск
100,educLevel,неоконченное_высшее
101,age,20
101,sex,ж
101,birthPlace,Киров
101,educLevel,неоконченное_высшее
102,age,20
102,sex,ж
102,birthPlace,Узбекистан
102,educLevel,среднее
103,age,20
103,sex,ж
103,birthPlace,Москва
103,educLevel,неоконченное_высшее
104,age,20
104,sex,ж
104,birthPlace,Нижний Новгород
104,educLevel,среднее
105,age,28
105,sex,м
105,birthPlace,Рига
105,educLevel,высшее
106,age,16
106,sex,ж
106,birthPlace,Москва
106,educLevel,школьник
107,age,24
107,sex,ж
107,birthPlace,Киржач
107,educLevel,высшее
108,age,26
108,sex,ж
108,birthPlace,Москва
108,educLevel,высшее
109,age,56
109,sex,ж
109,birthPlace,Оренбург
109,educLevel,высшее
110,age,35
110,sex,ж
110,birthPlace,Москва
110,educLevel,высшее
